Episode No.,Avg Reward,Team Reward,Agent 0 reached goal,Agent 1 reached goal,Goals reached,Agent 0 X,Agent 0 Y,Agent 1 X,Agent 1 Y,Agent 0 Goal X,Agent 0 Goal Y,Agent 1 Goal X,Agent 1 Goal Y
3020,-219.98,-40,0,0,0,1,5,8,9,4,9,5,9
3030,-39.98,-40,0,0,0,8,8,2,8,4,9,5,9
3040,-249.7,-40,0,0,0,5,1,8,4,4,9,5,9
3050,-198.92,-40,1,0,1,5,8,4,1,4,9,5,9
3060,-40,-40,1,0,1,5,3,5,4,4,9,5,9
3070,-60.33,-40,0,0,0,8,6,5,6,4,9,5,9
3080,-99.1,-40,0,0,0,1,0,1,7,4,9,5,9
3090,-219.9,-40,0,0,0,7,5,3,7,4,9,5,9
3100,-18.23,-40,1,0,1,5,7,7,3,4,9,5,9
3110,-29.7,-40,1,0,1,0,9,3,2,4,9,5,9
3120,-61,-40,0,0,0,8,7,4,8,4,9,5,9
3130,-29.8,-40,1,0,1,9,7,0,2,4,9,5,9
3140,-18.53,-40,1,0,1,5,3,4,5,4,9,5,9
3150,-147.05,-40,1,0,1,4,2,2,8,4,9,5,9
3160,-273.97,-40,0,0,0,4,8,8,0,4,9,5,9
3170,-26.13,-40,1,0,1,7,3,5,7,4,9,5,9
3180,-59.15,-40,0,0,0,0,8,3,8,4,9,5,9
3190,-287.42,-40,1,0,1,8,6,1,6,4,9,5,9
3200,-18.1,-40,1,0,1,2,8,5,9,4,9,5,9
3210,-39.75,-40,0,0,0,8,4,5,6,4,9,5,9
3220,-36.4,-40,1,0,1,6,5,3,8,4,9,5,9
3230,-192.73,-40,1,0,1,1,8,7,4,4,9,5,9
3240,-220.43,-40,0,0,0,7,5,8,7,4,9,5,9
3250,-65.4,-40,0,0,0,3,2,3,4,4,9,5,9
3260,-209.8,-40,1,0,1,6,9,2,6,4,9,5,9
3270,-177.92,-40,1,0,1,5,9,8,0,4,9,5,9
3280,-156.47,-40,0,0,0,8,4,9,2,4,9,5,9
3290,-219.3,-40,0,0,0,0,2,1,6,4,9,5,9
3300,-17.75,-40,1,0,1,2,9,0,7,4,9,5,9
3310,-110.27,-40,1,0,1,4,4,0,3,4,9,5,9
3320,-19,-40,1,0,1,5,6,4,6,4,9,5,9
3330,-60.3,-40,0,0,0,1,3,9,7,4,9,5,9
3340,-185.55,-40,1,0,1,3,3,5,1,4,9,5,9
